nombre,categoria,direccion_completa,barrio,comuna
GUANTANAMERA,RESTAURANTE,"MOREAU DE JUSTO, ALICIA AV. 2092",Puerto Madero,Comuna 1
1843 VINACOTECA,VINERIA,HUMBERTO 1Âº 1843,San Cristobal,Comuna 3
2080 EXPRESS,RESTAURANTE,JURAMENTO AV. 2080,Belgrano,Comuna 13
22,CAFE,MURGUIONDO 4188,Villa Lugano,Comuna 8
4 EN 2 I,RESTAURANTE,"BORGES, JORGE LUIS 2095",Palermo,Comuna 14
4 X 4 CAFE,BAR,DEL LIBERTADOR AV. 3838,Palermo,Comuna 14
5TA AVENIDA,RESTAURANTE,SARMIENTO 814,San Nicolas,Comuna 1
5TA AVENIDA I,RESTAURANTE,SARMIENTO 381,San Nicolas,Comuna 1
5TA ZONA,,MURILLO 1049,Villa Crespo,Comuna 15
650,RESTAURANTE,SAN MARTIN 650,San Nicolas,Comuna 1
788 FOODBAR,RESTAURANTE,ARENALES 1877,Recoleta,Comuna 2
7 SEVEN,RESTAURANTE,GORRITI 5802,Palermo,Comuna 14
8 MILIMETROS,RESTAURANTE,GORRITI 5535,Palermo,Comuna 14
9 DE JULIO,RESTAURANTE,"PELLEGRINI, CARLOS 593",San Nicolas,Comuna 1
9 DE JULIO II,CAFE,RIESTRA AV. 5498,Villa Lugano,Comuna 8
ABC,RESTAURANTE,LAVALLE 545,San Nicolas,Comuna 1
ABRIL,RESTAURANTE,ARENALES 900,Retiro,Comuna 1
ABRIL BRISTO,RESTAURANTE,BALCARCE 722,San Telmo,Comuna 1
ABUELO MATIAS,RESTAURANTE,SAN PEDRITO 1094,Flores,Comuna 7
ACABAR,BAR,HONDURAS 5733,Palermo,Comuna 14
ACAPULCO,RESTAURANTE,LAVALLE 757,San Nicolas,Comuna 1
ACAPULCO,CAFE,MORENO 1800,Monserrat,Comuna 1
ACCADEMIA della pizza,RESTAURANTE,TRIUNVIRATO AV. 4495,Villa Urquiza,Comuna 12
A CORUÃÆÃ¢â¬ËA,VINERIA,MISIONES 125,Balvanera,Comuna 3
ACQUANOVA,,"DIAZ, CNEL. AV. 1879",Recoleta,Comuna 2
ACROPOLIS,CAFE,CORDOBA AV. 3493,Recoleta,Comuna 2
ACUARIO,RESTAURANTE,VARELA AV. 920,Flores,Comuna 7
ADANN,RESTAURANTE,"HERNANDEZ, JOSE 2345",Belgrano,Comuna 13
AFICHE,CAFE,"ALVEAR, MARCELO T. De 2119",Recoleta,Comuna 2
A FUEGO LENTO,RESTAURANTE,SANTO TOME 5915,Versalles,Comuna 10
AGARRATE CATALINA,RESTAURANTE,CABOTO 537,Boca,Comuna 4
AGRAZ,RESTAURANTE,POSADAS 1232,Retiro,Comuna 1
AIRES DE PATAGONIA,RESTAURANTE,"MOREAU DE JUSTO, ALICIA AV. 1798",Puerto Madero,Comuna 1
